iter	Logloss
0	0.6820508609
1	0.6707064236
2	0.66062645
3	0.6515312009
4	0.6429323458
5	0.6339735957
6	0.6256452289
7	0.6160638234
8	0.6093280811
9	0.6018145655
10	0.5928293539
11	0.5841465799
12	0.5755762484
13	0.5684334072
14	0.5609348865
15	0.5531771199
16	0.5444240954
17	0.537115685
18	0.5295574664
19	0.5216994817
20	0.5136590317
21	0.5086188024
22	0.5022865385
23	0.4967121799
24	0.4903499078
25	0.4826854796
26	0.4768487131
27	0.4703109149
28	0.4643434195
29	0.4583231832
30	0.4511373317
31	0.4447742721
32	0.4387104856
33	0.4347599785
34	0.4291596544
35	0.4234080943
36	0.4175433246
37	0.4141483838
38	0.4085398006
39	0.4030097532
40	0.3978044622
41	0.3913784238
42	0.3880803083
43	0.3838273163
44	0.380420864
45	0.3765860812
46	0.3712056613
47	0.3660100339
48	0.3618987103
49	0.3577149619
50	0.3548906563
51	0.3505753986
52	0.3462912583
53	0.3437172014
54	0.3405421749
55	0.3380706245
56	0.3346454197
57	0.331543097
58	0.3282417069
59	0.325994483
60	0.3228724624
61	0.3191387227
62	0.3159574341
63	0.3130618382
64	0.3099552223
65	0.3066717018
66	0.3046671472
67	0.3018227045
68	0.2988746726
69	0.2957391741
70	0.2929479682
71	0.2891939687
72	0.2859797539
73	0.2835944982
74	0.2810647627
75	0.2782481844
76	0.2747071169
77	0.2719584845
78	0.2695826585
79	0.2666568149
80	0.2642975316
81	0.2619906919
82	0.2595706774
83	0.2569153596
84	0.2541493999
85	0.2517789709
86	0.2493063411
87	0.2473595365
88	0.2448692863
89	0.2432753729
90	0.2413085672
91	0.2388305669
92	0.2361632876
93	0.233955524
94	0.2316943847
95	0.2297794008
96	0.227942481
97	0.2261917072
98	0.2243115328
99	0.2223201222
100	0.2201165985
101	0.218820766
102	0.2166219612
103	0.2145377196
104	0.2131459457
105	0.2111835827
106	0.2092918891
107	0.2080835492
108	0.2063535406
109	0.2049445863
110	0.2026285465
111	0.2009623236
112	0.1995212862
113	0.1981536823
114	0.1965628885
115	0.1950807779
116	0.193255101
117	0.1915088515
118	0.189506315
119	0.187897096
120	0.1867740831
121	0.185110475
122	0.1836840777
123	0.1826796897
124	0.1815480916
125	0.1800955305
126	0.1785190285
127	0.1772965803
128	0.1762301481
129	0.1747229189
130	0.1734536529
131	0.1724095569
132	0.1709614167
133	0.1696080065
134	0.1684882429
135	0.1669675885
136	0.1657707584
137	0.1646750571
138	0.1633245496
139	0.1621390271
140	0.1608240078
141	0.1595804948
142	0.1582952773
143	0.1571988839
144	0.1565159233
145	0.1552777537
146	0.1541453704
147	0.1530976501
148	0.1521828888
149	0.1506912838
150	0.1496488507
151	0.14891534
152	0.1481950808
153	0.1471505664
154	0.1465174878
155	0.1456570155
156	0.1447479081
157	0.1439440792
158	0.1428914926
159	0.1417779664
160	0.1410841147
161	0.1404359171
162	0.1398999432
163	0.1390193791
164	0.1383874239
165	0.1376373787
166	0.1368683275
167	0.1361549244
168	0.1354837169
169	0.134688493
170	0.1335844877
171	0.1329053847
172	0.1322535624
173	0.1316565714
174	0.1306983905
175	0.1300157551
176	0.1290883978
177	0.1285889123
178	0.1279350831
179	0.1271087968
180	0.1263838129
181	0.1255877254
182	0.1249703647
183	0.1243079118
184	0.1234733859
185	0.1229454279
186	0.1222695219
187	0.1214977648
188	0.1206937793
189	0.119837546
190	0.1195790159
191	0.1190863435
192	0.1183536471
193	0.1179740438
194	0.1171542909
195	0.1163655719
196	0.1157283774
197	0.114878455
198	0.1140369221
199	0.1135309268
200	0.1126549441
201	0.1124069347
202	0.1119541964
203	0.1113949942
204	0.1105800031
205	0.1099761992
206	0.1093896138
207	0.1087297341
208	0.1079906527
209	0.1071839066
210	0.10688605
211	0.1062400607
212	0.1057988513
213	0.1052690304
214	0.104711803
215	0.1041027429
216	0.1038371069
217	0.1031924699
218	0.1026706139
219	0.1022941841
220	0.1018008825
221	0.1013743448
222	0.1008046276
223	0.1002984764
224	0.099693258
225	0.09925972556
226	0.0988747352
227	0.09858778005
228	0.09816473011
229	0.09794505413
230	0.09733809039
231	0.09697475301
232	0.09617581938
233	0.09587961175
234	0.09548954858
235	0.09505843656
236	0.09469981708
237	0.09431942093
238	0.09402367687
239	0.09336109963
240	0.09321880828
241	0.09289620623
242	0.09247561132
243	0.0921007177
244	0.09195038976
245	0.09159489561
246	0.09136072574
247	0.0911434812
248	0.09045926897
249	0.08996687966
250	0.08934368246
251	0.08889947219
252	0.08851537889
253	0.08826068679
254	0.08785636539
255	0.08747803499
256	0.08708924357
257	0.08678091703
258	0.08660373359
259	0.08617127454
260	0.0855193942
261	0.08505931201
262	0.08457719833
263	0.08431973248
264	0.08388772158
265	0.08371508339
266	0.08351223452
267	0.0834229419
268	0.08295781588
269	0.08276851319
270	0.08244569475
271	0.08230298068
272	0.08207639353
273	0.08175686051
274	0.08161939781
275	0.08139950395
276	0.08104621697
277	0.08074238051
278	0.0804168835
279	0.08008710584
280	0.07973343558
281	0.07952881974
282	0.07927652858
283	0.07878876059
284	0.07874730031
285	0.07834024909
286	0.07817872635
287	0.07795682097
288	0.07774539273
289	0.07740596841
290	0.07703521016
291	0.07669150776
292	0.07653123387
293	0.07624279328
294	0.07588950458
295	0.07553036195
296	0.07513770078
297	0.07481240754
298	0.07442888564
299	0.07396835131
300	0.07378883871
301	0.07375267635
302	0.07358917795
303	0.07341964313
304	0.07332361534
305	0.07313435638
306	0.07296032477
307	0.0726435296
308	0.0723512437
309	0.07198947857
310	0.07149800536
311	0.07106137544
312	0.07072585746
313	0.07060525965
314	0.070204922
315	0.07008508311
316	0.06982542614
317	0.06943078209
318	0.06935944725
319	0.0690091857
320	0.06896513174
321	0.06866347836
322	0.06836486093
323	0.06809793336
324	0.06799348058
325	0.06769140209
326	0.06741818607
327	0.06730728005
328	0.06718885717
329	0.06689704242
330	0.06684966514
331	0.06673833922
332	0.06642456621
333	0.06625978246
334	0.06602123941
335	0.06582436685
336	0.06565647063
337	0.06560800153
338	0.06550332612
339	0.06518153435
340	0.06500723948
341	0.06468910539
342	0.06450241591
343	0.06437400318
344	0.06423867484
345	0.06400486091
346	0.06396628346
347	0.0637091734
348	0.06357037323
349	0.06321101224
350	0.06297786011
351	0.06256788913
352	0.06234868334
353	0.06218090882
354	0.06209718012
355	0.06195085071
356	0.06181011709
357	0.06164703442
358	0.06154316579
359	0.06125377802
360	0.06106672552
361	0.0607999899
362	0.06065217002
363	0.06055120966
364	0.06035391448
365	0.06027435161
366	0.0600609904
367	0.05971363894
368	0.05964773199
369	0.05943997681
370	0.05937772331
371	0.05921352916
372	0.05916715631
373	0.05895054286
374	0.05874558748
375	0.05850182454
376	0.05842284128
377	0.05831892424
378	0.05810860336
379	0.0580290261
380	0.05773310168
381	0.0575513704
382	0.05747105693
383	0.0573344121
384	0.05708622181
385	0.05704287581
386	0.05673821372
387	0.05669349634
388	0.05664490881
389	0.05642762687
390	0.05623278991
391	0.05616520544
392	0.05597219515
393	0.05574040382
394	0.05556372843
395	0.05539262086
396	0.05517124238
397	0.05506242806
398	0.05495492821
399	0.05474268038
400	0.05458534117
401	0.05446595618
402	0.05435899837
403	0.05413497553
404	0.05384237893
405	0.0538086644
406	0.05359873271
407	0.05330470592
408	0.05315723769
409	0.05295926975
410	0.05270541425
411	0.05253527354
412	0.05249969523
413	0.05239308661
414	0.05219012731
415	0.05213298565
416	0.05199530094
417	0.05193926443
418	0.05173944468
419	0.051568937
420	0.05142334534
421	0.05126768762
422	0.05098618068
423	0.0509152237
424	0.05070406383
425	0.05062889902
426	0.05045748317
427	0.05025159108
428	0.05014763608
429	0.05003561815
430	0.04990015093
431	0.04964160781
432	0.04955154871
433	0.04937841441
434	0.04926938965
435	0.04908760258
436	0.04900705385
437	0.04897394078
438	0.04880197726
439	0.04865358591
440	0.04857858339
441	0.04848691452
442	0.04838016653
443	0.04831523296
444	0.04822324271
445	0.04802463916
446	0.04789340251
447	0.04785406914
448	0.04764659958
449	0.04741458587
450	0.04731836682
451	0.04724672292
452	0.04718358909
453	0.04713774637
454	0.04704897274
455	0.04694104779
456	0.04677590695
457	0.04666984769
458	0.04658376363
459	0.04653054197
460	0.04644063546
461	0.04622730671
462	0.04618665691
463	0.04602523193
464	0.04571307854
465	0.04567943325
466	0.04556796334
467	0.04544429696
468	0.0451196965
469	0.04508578038
470	0.04489044209
471	0.04472317897
472	0.04465504811
473	0.04447247757
474	0.04443622674
475	0.04429360356
476	0.04410520457
477	0.04401936194
478	0.04397112651
479	0.04386106721
480	0.04382605233
481	0.04368268751
482	0.0435081488
483	0.04343432913
484	0.0432171009
485	0.04304056104
486	0.04295128519
487	0.0427980762
488	0.04276071752
489	0.04264241138
490	0.04247019125
491	0.04234835868
492	0.04216628484
493	0.04202443077
494	0.04197969605
495	0.04179971445
496	0.04162136635
497	0.04157009108
498	0.041493758
499	0.04146309798
